id,title,author,description,availableCopies,CategoryId
b0400af6-a0c9-44c5-883a-ab5f8419291d,Sleepless in Seattle,Micheline Culwen,"Traum rupture of right ulnocarpal (palmar) ligament, subs",95-289-7069,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
a36b963d-c860-4a5b-9c49-52a36176bcd0,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension),Mahala Jain,"Unsp superficial injury of unspecified finger, sequela",66-162-9191,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
01910025-97e5-4e86-b5fe-b41e36c77c0e,"Fluffer, The",Cathy Childers,"Other secondary chronic gout, unsp wrist, without tophus",39-473-3068,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
b345947e-2ab3-4e36-8bbb-849f577e5bac,Metallica: Through the Never,Sayers Gepp,Toxic effect of other ingested (parts of) plant(s),93-077-5962,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
ff373528-e08d-4322-8d64-790998c1c153,Song of Freedom,Tibold Bartram,Methylmalonic acidemia,22-220-4242,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
dbefed61-0ab6-449a-9333-d0d22ceadb42,Phantasm,Conny Murfett,"Exposure to smoke in uncontrolled fire in bldg, subs",31-332-7720,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
28d48268-71de-4a1f-af88-157897226c22,Lars and the Real Girl,Talia Philott,"Lacerat extn/abdr musc/fasc/tend of r thm at forarm lv, sqla",95-542-0941,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
9a709940-6fd5-4d1f-82a6-0b6b2fc3f9cd,Show,Barth Dudliston,"Disp fx of base of nk of unsp femr, 7thE",32-993-1261,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
cf1228f0-2e50-4498-a4f1-69de6f2b38e6,Marat/Sade,Winona Baine,"Pathological fracture in other disease, left hand",82-248-7851,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
93d55a56-452d-4508-ac39-cf4a12f13f61,Juggernaut,Sarge Balffye,"Unspecified open wound, right foot, sequela",57-747-0302,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
03be6d60-d2c9-403d-a298-e0eec84a4e67,I Am a Fugitive from a Chain Gang,Jolyn Rivaland,Ovarian pregnancy without intrauterine pregnancy,17-195-6842,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
0ec0d94f-cb51-4ec8-9e20-3b35bf1bb3f7,"White Hunter, Black Heart",Hephzibah Carrett,"Anterior subluxation of left ulnohumeral joint, sequela",02-113-3159,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
d2d5e7db-69f0-4933-a9af-34a456a3b148,"Nightmare on Elm Street 3: Dream Warriors, A",Barby Mattke,Mech compl of surgically created arteriovenous fistula,02-570-0809,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
2220a331-75c4-4170-a494-665a7bf68ffc,Joe Versus the Volcano,Mitchael Haycraft,"Injury of muscle, fascia and tendon at wrist and hand level",29-249-4039,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
80497760-6f50-499d-801b-0fd43abaee38,Educating Rita,Joete Siddon,Drown due to falling or jumping from burning water-skis,48-374-4635,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
29d3380a-9f36-471d-be42-0249858dbc68,貞子3D,Waly Raynham,Aural myiasis,39-755-9212,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
5965b6fc-f383-4cb9-99cd-582b79885658,Beneath the Dark,Kiele Mowat,"Secondary hyperparathyroidism, not elsewhere classified",57-714-0442,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
1b67efb2-28fc-4a4d-a2d0-5cb3661df76f,Live Nude Girls Unite!,Janaye Meynell,"Unsp fx first MC bone, right hand, subs for fx w delay heal",51-691-8086,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
1fa8eb8d-0063-4df5-b531-a8957a549012,Ed,Ellis Titchmarsh,"Burn third degree of head, face, and neck, unsp site, subs",60-528-7250,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
66387cb2-bcab-45f6-89b9-154fe9a20494,Thirteen Days,Gracie Vettore,"Nondisp fx of body of scapula, unspecified shoulder",38-592-2895,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
3619aa6b-e18d-433a-955e-9e4c2043674c,The Police Can't Move,Darrel McCabe,"Strain intrns musc/fasc/tend r mid fngr at wrs/hnd lv, sqla",47-069-4158,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
3b9a741c-e19d-43f4-9035-fef58856c06c,Obvious Child,Leupold Sansom,"Displ spiral fx shaft of unsp tibia, 7thN",65-825-8549,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
a64815a6-2cd5-4979-943d-d555d1f89b3a,Lotta på Bråkmakargatan,Bucky Walthew,"Poisoning by saline and osmotic laxatives, undet, init",34-034-9322,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
81d3f3a5-799b-48a8-93b7-21dfa635b326,Shattered Glass,Modestine Akrigg,"Disp fx of base of neck of l femur, init for opn fx type I/2",21-931-4975,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
a0607757-f4b4-40aa-a1c0-72cb2a313719,Bus Stop,Anselm Ridgers,Type 2 diabetes w diabetic peripheral angiopathy w gangrene,78-988-9030,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
7c6da321-f156-4488-92e1-035850b13934,Girls Will Be Girls,Alonzo Hemphrey,Secondary esophageal varices with bleeding,85-132-8174,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
63f47879-27b9-457b-abe5-0952800010cb,The Time of Their Lives,Yoshi Gillmor,"Legal intervnt involving oth explosives, bystander injured",35-285-5039,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
f8fc2c17-667b-458a-99aa-0a1c21348493,Winds of the Wasteland,Leonanie Huc,"Person outsd 3-whl mv inj in clsn w 2/3-whl mv nontraf, init",42-352-4442,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
88a3aea3-6bd0-490c-af6b-d89ceb7f0f22,Mr. Nice Guy (Yat goh ho yan),Brandie Watchorn,"Unsp fx head of r femr, 7thR",42-654-6301,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
6351e5ac-5980-458b-9deb-6408706b52bc,Phil Spector,Angele Heyworth,Minor laceration of branches of celiac and mesenteric artery,14-112-3704,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
20dfb1ff-f67a-467f-8360-bbf04a166778,ATF ,Kimmi Taplow,Athscl heart disease of native coronary artery w/o ang pctrs,69-553-4600,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
2a8892d0-b881-406a-9d67-bb3a7b79bfe8,Season of the Witch,Pearline Darrington,Underdosing of antiviral drugs,89-944-9728,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
aff8f8fe-bd8a-41a8-bb07-f2252f822f7f,"World, the Flesh and the Devil, The",Janeen Nelissen,"Newborn affected by comp of placenta, cord and membranes",35-080-3829,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
7d70b4e6-6d7f-4e14-83a0-6e3f8abaabe1,Blindness,Hadlee Peddersen,"Traumatic spondylopathy, occipito-atlanto-axial region",85-432-3384,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
3725cf7b-0a5a-4461-ac78-1f1ce5a11b47,Who's Afraid of Virginia Woolf?,Ashia Dillingham,"Nondisp fx of r ulna styloid pro, 7thE",55-071-2091,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
3e3b3232-6286-46bb-b8bd-e5fec29d98be,"High Wind in Jamaica, A",Cecilla Sabine,"Other specified bursopathies, left elbow",25-517-5574,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
033a273b-819f-417c-93ce-d0cc86b2933b,Hamlet 2,Dominique Asker,"Displ Maisonneuve's fx right leg, init for opn fx type I/2",13-539-0326,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
d5d94444-5b66-4801-92d6-e6e450aa5618,Cradle of Fear,Mac Veevers,Heat edema,64-275-5767,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
c0344bcc-db70-43b7-9f51-bfaa4252e3d4,Love and Other Drugs,Rea Bodle,"Poisoning by peripheral vasodilators, undetermined, sequela",75-703-2578,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
0d23f689-bda7-4991-aab4-c3ed8be2344d,Saturday Night and Sunday Morning,Alessandra Pointing,"Nondisp avuls fx (chip fracture) of unsp talus, 7thP",71-595-3751,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
35d56011-8a1b-4fa3-8bf2-f58a9d05a623,"Hippie Revolution, The",Eamon Conlon,"Salter-Harris Type III physeal fracture of l calcaneus, init",59-896-5406,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
16d0dbdd-7fcc-461e-902a-68543b7110d7,Crisis (Kris),Kyle Commucci,"Salter-Harris Type I physeal fracture of r calcaneus, init",31-194-6898,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
7c52f5eb-309a-43ff-ab66-d689ad195615,Gold Diggers of 1933,Phebe Gooderham,"Driver of pk-up/van inj in nonclsn trnsp acc in traf, sqla",89-045-2826,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
